,bitcoin,ethereum,tether
2020-01-06 14:09:29.636,25414898257.92149,,
2020-01-06 14:34:27.600,,,29969085926.926094
2020-01-06 15:02:58.399,,8574703370.729562,
2020-01-06 15:04:58.600,25777566652.63516,,
2020-01-06 15:39:33.972,,,30433919490.67833
2020-01-06 16:07:36.088,25617119693.88188,,
2020-01-06 16:07:42.601,,7954781167.033361,
2020-01-06 16:39:27.823,,,30153385185.73794
2020-01-06 17:02:54.671,25265873016.98643,,
2020-01-06 17:09:35.994,,8818226360.464996,
2020-01-06 17:32:22.538,,,30219748662.017178
2020-01-06 18:04:51.121,26336987137.15723,,
2020-01-06 18:05:36.894,,8555554614.522352,
2020-01-06 18:27:39.704,,,30255398020.067604
2020-01-06 19:05:36.973,25406404834.376236,,
2020-01-06 19:07:41.675,,8742406151.423626,
2020-01-06 19:32:49.345,,,30105396011.18516
2020-01-06 20:09:46.249,25730036858.66922,,
2020-01-06 20:09:53.867,,9218525925.204008,
2020-01-06 20:39:50.894,,,30284867313.446243
2020-01-06 21:05:22.827,25995626023.02454,,
2020-01-06 21:09:49.553,,8537760792.2865095,
2020-01-06 21:34:59.961,,,30217933578.185616
2020-01-06 22:03:52.933,26049337163.765995,,
2020-01-06 22:05:41.231,,9203596233.847319,
2020-01-06 22:39:27.210,,,30932243085.84459
2020-01-06 23:04:04.288,,9430850664.1696,
2020-01-06 23:05:36.508,27599842755.517647,,
2020-01-06 23:39:34.791,,,32070933362.708263
2020-01-07 00:02:37.613,,9514201882.396584,
2020-01-07 00:02:45.953,28148518761.51164,,
2020-01-07 00:49:26.250,,,33723379381.446136
2020-01-07 01:02:43.505,29939989583.18538,,
2020-01-07 01:09:32.514,,9731630379.011684,
2020-01-07 01:40:39.159,,,34443493178.23919
2020-01-07 02:07:32.563,,9967831866.486834,
2020-01-07 02:09:46.941,30559166648.236786,,
2020-01-07 02:39:23.752,,,33863324095.563316
2020-01-07 03:06:06.254,,8871621485.609005,
2020-01-07 03:13:44.105,30203302927.03435,,
2020-01-07 03:37:52.183,,,33323671939.960716
2020-01-07 04:05:31.264,,9559312487.749136,
2020-01-07 04:09:44.143,28783206685.312122,,
2020-01-07 04:44:39.567,,,33240414686.606007
2020-01-07 05:02:43.220,,9149027959.986212,
2020-01-07 05:09:40.528,29899145246.999603,,
2020-01-07 05:34:52.880,,,33539185458.193577
2020-01-07 06:07:29.093,,8997941224.765503,
2020-01-07 06:10:13.769,29041962577.890835,,
2020-01-07 06:39:07.898,,,33984203484.805344
2020-01-07 07:02:25.118,29623119517.73518,,
2020-01-07 07:07:26.434,,9311442852.141832,
2020-01-07 07:37:34.629,,,34285445012.92329
2020-01-07 08:02:50.703,28539130155.0706,,
2020-01-07 08:03:01.197,,8943775470.126757,
2020-01-07 08:25:04.482,,,34397966963.79149
2020-01-07 09:04:01.442,29534316174.919735,,
2020-01-07 09:10:00.857,,9235376982.39308,
2020-01-07 09:29:38.467,,,34250467790.36947
2020-01-07 10:02:56.143,,9674766826.889425,
2020-01-07 10:04:13.948,30314806958.607803,,
2020-01-07 10:34:54.268,,,33571999900.81328
2020-01-07 11:06:04.449,30284800214.965527,,
2020-01-07 11:06:09.282,,9584705178.293022,
2020-01-07 11:39:53.528,,,33499767618.19221
2020-01-07 12:12:09.052,30631350159.02287,,
2020-01-07 12:12:12.596,,9985718293.440655,
