,bitcoin,ethereum,tether
2020-01-08 11:05:56.256,151112976153.08313,,
2020-01-08 11:09:31.254,,15729990655.251898,
2020-01-08 11:32:18.781,,,4284493932.334698
2020-01-08 12:12:27.334,150850927228.8439,,
2020-01-08 12:12:43.694,,15661879853.484022,
2020-01-08 12:39:06.218,,,4283219775.668388
2020-01-08 13:07:35.311,150299400736.9917,,
2020-01-08 13:10:04.678,,15543064594.58035,
2020-01-08 13:22:46.922,,,4276032911.0033164
2020-01-08 14:00:28.761,152046106918.237,,
2020-01-08 14:00:29.007,,15645186543.966633,
2020-01-08 14:19:56.073,,,4275995415.4517136
2020-01-08 15:05:09.499,150249320043.2206,,
2020-01-08 15:09:13.092,,15460703171.811047,
2020-01-08 15:39:59.300,,,4280825681.856658
2020-01-08 16:10:07.039,,15438435554.087355,
2020-01-08 16:12:17.176,150131021935.9868,,
2020-01-08 16:25:54.147,,,4285595972.1746626
2020-01-08 17:04:20.885,,15177931329.461267,
2020-01-08 17:04:58.523,147500558106.53278,,
2020-01-08 17:34:42.240,,,4271121515.703131
2020-01-08 18:04:30.301,146908832937.57718,,
2020-01-08 18:10:32.626,,15143145603.601473,
2020-01-08 18:39:44.390,,,4276360030.688839
2020-01-08 19:05:10.066,146215604575.24014,,
2020-01-08 19:09:48.054,,15179670789.91018,
2020-01-08 19:29:06.246,,,4278167379.774106
2020-01-08 20:02:39.423,145078830982.98062,,
2020-01-08 20:04:51.188,,15050629546.159914,
2020-01-08 20:32:11.088,,,4289507667.777224
2020-01-08 21:09:27.976,,15226519756.03931,
2020-01-08 21:09:38.243,146261163610.74362,,
2020-01-08 21:20:00.811,,,4275936080.7192974
2020-01-08 22:05:22.217,145202267975.71786,,
2020-01-08 22:09:15.809,,15168702030.71575,
2020-01-08 22:34:39.832,,,4280635607.5164256
2020-01-08 23:02:25.475,,15195259017.051535,
2020-01-08 23:10:23.416,146518808859.75345,,
2020-01-08 23:37:19.143,,,4285251294.8292956
2020-01-09 00:02:31.586,146089575425.2795,,
2020-01-09 00:04:42.006,,15364547561.67077,
2020-01-09 00:42:56.781,,,4270258390.205544
2020-01-09 01:04:18.661,144881191034.55957,,
2020-01-09 01:04:32.931,,15268812793.301043,
2020-01-09 01:34:22.669,,,4279063089.9311123
2020-01-09 02:07:46.677,145352831649.00092,,
2020-01-09 02:09:14.605,,15356922192.306646,
2020-01-09 02:35:36.894,,,4276565575.975718
2020-01-09 03:07:17.364,,15304324845.544893,
2020-01-09 03:07:38.200,144842972505.83972,,
2020-01-09 03:35:02.332,,,4283488694.615943
2020-01-09 04:05:18.742,144462320068.60016,,
2020-01-09 04:05:19.468,,15242956180.01763,
2020-01-09 04:34:50.413,,,4279848289.437844
2020-01-09 05:02:36.171,144861533468.0091,,
2020-01-09 05:04:10.616,,15271518890.335693,
2020-01-09 05:44:46.907,,,4280300374.1164336
2020-01-09 06:02:38.810,144563160050.4935,,
2020-01-09 06:03:59.200,,15205085120.220861,
2020-01-09 06:32:18.735,,,4287005304.974386
2020-01-09 07:12:21.873,143550678885.01404,,
2020-01-09 07:12:24.976,,15196445669.154976,
2020-01-09 07:38:58.418,,,4288064718.106949
2020-01-09 08:10:26.649,144393767638.20435,,
2020-01-09 08:10:35.153,,15250865073.93168,
2020-01-09 08:35:03.387,,,4284265364.399495
2020-01-09 09:02:43.694,,15220963695.712378,
2020-01-09 09:05:41.567,144153385369.42633,,
2020-01-09 09:32:28.341,,,4280565507.0485015
2020-01-09 10:04:40.228,,15093414512.658707,
2020-01-09 10:05:33.989,143102852139.4722,,
2020-01-09 10:29:52.892,,,4286856892.308628
2020-01-09 11:02:52.830,143335977406.52325,,
2020-01-09 11:09:46.093,,15093287153.21114,
2020-01-09 11:25:47.201,,,4276189238.869096
2020-01-09 12:09:48.389,142838968338.5527,,
2020-01-09 12:09:49.667,,15069215784.01863,
2020-01-09 12:42:21.643,,,4283013852.70977
2020-01-09 13:04:30.560,,15097913376.419775,
2020-01-09 13:09:51.695,143388029405.36658,,
2020-01-09 13:30:25.266,,,4284529867.6403947
2020-01-09 14:04:16.818,143639151553.70276,,
2020-01-09 14:05:17.410,,15111830923.937853,
2020-01-09 14:25:44.207,,,4278693018.758565
2020-01-09 15:09:27.639,,15053979769.240122,
